status,name,pos,team,pts_per_week,start_rate,form,season_pts,minutes,starts,def_actions_p90,gain_vs_my_starter,next5_fdr,news
FREE,Tchaouna,MID,COV,2.96,1.00,1.5,3,139,2,9.1,1.35,5-2-3-2-3,
FREE,Palacios,MID,FUL,2.92,1.00,1.5,3,147,2,8.0,1.32,3-4-4-2-2,
FREE,Coyle,DEF,HUL,2.91,1.00,3.0,6,114,2,4.7,-0.34,3-4-3-3-3,Unspecified injury - 75% chance of playing
FREE,Kamara,MID,AVL,2.90,1.00,2.0,4,180,2,7.5,1.29,2-3-3-3-3,
FREE,Grimes,MID,COV,2.90,1.00,2.0,4,180,2,8.5,1.29,5-2-3-2-3,
FREE,Scherpen,GKP,IPS,2.90,1.00,2.0,4,180,2,0.0,-1.00,4-3-3-2-5,
FREE,Jacquet,DEF,LIV,2.90,1.00,2.0,4,145,2,8.7,-0.35,2-2-3-4-3,
FREE,Boscagli,DEF,BHA,2.88,1.00,2.5,5,180,2,4.5,-0.38,2-2-4-3-3,
FREE,Dunk,DEF,BHA,2.88,1.00,2.5,5,180,2,2.5,-0.38,2-2-4-3-3,
FREE,Rushworth,GKP,COV,2.78,1.00,1.5,3,180,2,0.0,-1.12,5-2-3-2-3,
FREE,Diop,DEF,IPS,2.75,1.00,2.0,4,180,2,8.5,-0.50,4-3-3-2-5,
FREE,O'Shea,DEF,IPS,2.75,1.00,2.0,4,180,2,9.5,-0.50,4-3-3-2-5,
FREE,Shaw,DEF,MUN,2.70,1.00,1.5,3,162,2,6.7,-0.55,3-4-3-3-3,
FREE,McGinn,MID,AVL,2.69,1.00,1.0,2,171,2,5.3,1.08,2-3-3-3-3,
FREE,Robinson,DEF,FUL,2.66,1.00,1.5,3,171,2,5.3,-0.59,3-4-4-2-2,
FREE,van Ewijk,DEF,COV,2.62,1.00,1.5,3,180,2,4.5,-0.62,5-2-3-2-3,
FREE,Dasilva,DEF,COV,2.62,1.00,1.5,3,180,2,4.5,-0.62,5-2-3-2-3,
FREE,Rodon,DEF,LEE,2.61,1.00,3.5,7,123,2,8.0,-0.64,3-2-3-5-4,Hamstring injury - 50% chance of playing
FREE,Pau,DEF,AVL,2.57,1.00,1.0,2,163,2,5.0,-0.68,2-3-3-3-3,
FREE,Gusto,DEF,CHE,2.56,1.00,1.0,2,165,2,4.4,-0.69,5-2-3-3-3,
FREE,Smith,DEF,BOU,2.50,1.00,1.0,2,180,2,5.5,-0.75,3-3-4-4-2,
FREE,Amenda,DEF,COV,2.50,1.00,1.0,2,180,2,6.5,-0.75,5-2-3-2-3,
FREE,Bassey,DEF,FUL,2.50,1.00,1.0,2,180,2,5.5,-0.75,3-4-4-2-2,
FREE,Jair Cunha,DEF,NFO,2.50,1.00,1.0,2,180,2,8.0,-0.75,3-4-2-3-4,
FREE,Cash,DEF,AVL,2.43,1.00,0.5,1,167,2,7.0,-0.82,2-3-3-3-3,
FREE,Maatsen,DEF,AVL,2.41,1.00,0.5,1,171,2,8.9,-0.84,2-3-3-3-3,
FREE,Canvot,DEF,CRY,2.38,1.00,0.5,1,180,2,7.5,-0.88,3-2-3-3-3,
FREE,Mitchell,DEF,CRY,2.38,1.00,0.5,1,180,2,5.0,-0.88,3-2-3-3-3,
FREE,Greaves,DEF,IPS,2.38,1.00,0.5,1,180,2,8.5,-0.88,4-3-3-2-5,
FREE,Lindelöf,DEF,AVL,2.25,1.00,0.0,0,180,2,5.0,-1.00,2-3-3-3-3,
FREE,Yalcouyé,MID,BHA,1.99,0.50,4.5,9,77,1,8.2,0.39,2-2-4-3-3,
FREE,Munoz,MID,LIV,1.97,0.50,5.0,10,117,1,5.4,0.36,2-2-3-4-3,
FREE,Willock,MID,NEW,1.93,0.50,4.5,9,104,1,4.3,0.33,3-3-2-2-3,
FREE,Neto,MID,CHE,1.92,0.50,4.0,8,81,1,8.9,0.31,5-2-3-3-3,
FREE,Yeremy,MID,CRY,1.75,0.50,3.0,6,102,1,13.2,0.14,3-2-3-3-3,
FREE,Mainoo,MID,MUN,1.69,0.50,2.5,5,102,1,14.1,0.08,3-4-3-3-3,
FREE,Schlager,MID,NFO,1.68,0.50,2.5,5,106,1,13.6,0.07,3-4-2-3-4,
FREE,Damsgaard,MID,BRE,1.67,0.50,2.0,4,82,1,14.3,0.06,2-3-4-4-4,
FREE,Kostoulas,FWD,BHA,1.66,0.50,3.0,6,105,1,6.9,-1.34,2-2-4-3-3,
FREE,Rudoni,MID,COV,1.65,0.50,2.0,4,90,1,11.0,0.04,5-2-3-2-3,
FREE,Jensen,MID,BRE,1.62,0.50,3.0,6,66,1,6.8,0.02,2-3-4-4-4,Unspecified injury - 75% chance of playing
FREE,Andrey Santos,MID,MUN,1.62,0.50,1.5,3,76,1,16.6,0.01,3-4-3-3-3,
FREE,Hackney,MID,EVE,1.61,0.50,2.0,4,106,1,8.5,0.01,4-3-2-2-4,
MINE,Wilson,MID,LEE,1.61,0.50,2.0,4,110,1,6.5,,3-2-3-5-4,
FREE,Anthony,MID,BRE,1.60,0.50,1.5,3,83,1,9.8,-0.00,2-3-4-4-4,
FREE,McNeil,MID,CRY,1.60,0.50,1.5,3,84,1,7.5,-0.00,3-2-3-3-3,
FREE,Moore,MID,TOT,1.59,0.50,1.5,3,89,1,3.0,-0.02,3-3-3-4-2,
FREE,Okafor,MID,LEE,1.58,0.50,1.5,3,92,1,6.8,-0.02,3-2-3-5-4,
FREE,N.Gonzalez,MID,NEW,1.57,0.50,1.0,2,70,1,5.1,-0.04,3-3-2-2-3,
FREE,Garner,MID,EVE,1.57,0.50,1.0,2,72,1,13.8,-0.04,4-3-2-2-4,
FREE,Bergvall,MID,TOT,1.56,0.50,0.5,1,45,1,16.0,-0.04,3-3-3-4-2,
FREE,Morita,MID,HUL,1.56,0.50,0.5,1,45,1,6.0,-0.04,3-4-3-3-3,
FREE,Steur,MID,NEW,1.56,0.50,1.0,2,74,1,6.1,-0.04,3-3-2-2-3,
FREE,Mac Allister,MID,LIV,1.56,0.50,1.5,3,103,1,11.4,-0.05,2-2-3-4-3,
FREE,Mason-Clark,MID,COV,1.54,0.50,0.5,1,57,1,6.3,-0.07,5-2-3-2-3,
FREE,Onyeka,MID,COV,1.53,0.50,1.0,2,90,1,9.0,-0.08,5-2-3-2-3,
FREE,Suzuki,GKP,AVL,1.53,0.50,1.0,2,90,1,0.0,-2.38,2-3-3-3-3,
FREE,Acheampong,DEF,CHE,1.52,0.50,2.0,4,112,1,14.5,-1.73,5-2-3-3-3,
FREE,Dalot,DEF,MUN,1.51,0.50,1.5,3,83,1,7.6,-1.74,3-4-3-3-3,
FREE,J.Cuenca,DEF,FUL,1.50,0.50,1.5,3,90,1,10.0,-1.75,3-4-4-2-2,
MINE,Senesi,DEF,TOT,1.50,0.50,1.5,3,90,1,16.0,,3-3-3-4-2,
FREE,Gallagher,MID,TOT,1.50,0.50,0.0,0,45,1,6.0,-0.11,3-3-3-4-2,
FREE,Bentancur,MID,TOT,1.49,0.50,1.5,3,135,1,10.7,-0.12,3-3-3-4-2,
FREE,Fernandes,MID,TOT,1.49,0.50,1.5,3,135,1,6.7,-0.12,3-3-3-4-2,
FREE,Richarlison,FWD,TOT,1.49,0.50,1.0,2,67,1,1.3,-1.51,3-3-3-4-2,
FREE,M.Bizot,GKP,AVL,1.46,0.50,0.5,1,90,1,0.0,-2.44,2-3-3-3-3,
FREE,Khalaili,DEF,CRY,1.46,0.50,1.5,3,109,1,19.0,-1.79,3-2-3-3-3,
FREE,Lewis,DEF,MCI,1.45,0.50,0.5,1,56,1,3.2,-1.80,2-4-2-4-2,
FREE,Tomiyasu,DEF,CRY,1.44,0.50,1.0,2,91,1,8.9,-1.81,3-2-3-3-3,
FREE,Mazraoui,DEF,MUN,1.43,0.50,1.0,2,96,1,4.7,-1.82,3-4-3-3-3,
FREE,O'Nien,DEF,SUN,1.43,0.50,0.5,1,66,1,6.8,-1.82,3-4-5-2-3,
FREE,Ayari,MID,BHA,1.41,0.50,1.0,2,63,1,5.7,-0.20,2-2-4-3-3,Ankle injury - 75% chance of playing
FREE,Andersen,DEF,FUL,1.38,0.50,0.5,1,90,1,8.0,-1.88,3-4-4-2-2,
FREE,Martinez,DEF,MUN,1.38,0.50,0.5,1,90,1,0.0,-1.88,3-4-3-3-3,
FREE,Heaven,DEF,MUN,1.38,0.50,0.5,1,90,1,2.0,-1.88,3-4-3-3-3,
FREE,Fofana,DEF,CHE,1.36,0.50,0.0,0,67,1,12.1,-1.89,5-2-3-3-3,
FREE,Crooks,MID,HUL,1.35,0.50,1.0,2,90,1,9.0,-0.25,3-4-3-3-3,Thigh injury - 75% chance of playing
FREE,Akpom,FWD,IPS,1.33,0.00,3.0,6,69,0,3.9,-1.67,4-3-3-2-5,
FREE,Drameh,DEF,HUL,1.08,0.00,1.0,2,65,0,8.3,-2.17,3-4-3-3-3,
FREE,Isidor,FWD,SUN,1.07,0.00,4.5,9,49,0,0.0,-1.93,3-4-5-2-3,
FREE,Eze,MID,ARS,1.04,0.00,1.0,2,59,0,7.6,-0.56,4-3-3-2-3,
FREE,Millar,MID,HUL,1.04,0.00,3.0,6,50,0,7.2,-0.57,3-4-3-3-3,
FREE,Guessand,MID,CRY,0.96,0.00,1.0,2,54,0,3.3,-0.64,3-2-3-3-3,
FREE,Herrington,DEF,HUL,0.95,0.00,1.0,2,57,0,7.9,-2.30,3-4-3-3-3,
FREE,Elvedi,DEF,LEE,0.90,0.00,0.5,1,56,0,9.6,-2.35,3-2-3-5-4,
FREE,Torp,MID,COV,0.85,0.00,1.0,2,47,0,5.7,-0.76,5-2-3-2-3,
FREE,I.Sangaré,MID,NFO,0.84,0.50,1.0,2,90,1,6.0,-0.77,3-4-2-3-4,Calf injury - Unknown return date
FREE,Charles,MID,FUL,0.81,0.00,1.0,2,45,0,10.0,-0.79,3-4-4-2-2,
FREE,Yarmoliuk,MID,BRE,0.80,0.00,1.0,2,44,0,12.3,-0.81,2-3-4-4-4,
FREE,Tanaka,MID,LEE,0.78,0.00,0.5,1,45,0,22.0,-0.82,3-2-3-5-4,
FREE,Gourna-Douath,MID,HUL,0.78,0.00,0.5,1,45,0,12.0,-0.82,3-4-3-3-3,
FREE,Chadi Riad,DEF,CRY,0.78,0.50,0.5,1,72,1,8.8,-2.47,3-2-3-3-3,Knee injury - Unknown return date
FREE,Gomes,MID,AVL,0.76,0.50,-1.0,-2,39,1,16.2,-0.84,2-3-3-3-3,Suspended until 19 Sep
FREE,Kovačić,MID,MCI,0.76,0.00,1.0,2,42,0,4.3,-0.84,2-4-2-4-2,
FREE,Chavarria,DEF,CHE,0.73,0.00,1.0,2,43,0,8.4,-2.52,5-2-3-3-3,
FREE,J.Ramsey,MID,NEW,0.73,0.00,0.5,1,42,0,15.0,-0.87,3-3-2-2-3,
FREE,Sessegnon,DEF,FUL,0.67,0.00,1.0,2,39,0,4.6,-2.58,3-4-4-2-2,
FREE,Adams,MID,BOU,0.66,0.00,1.0,2,36,0,15.0,-0.95,3-3-4-4-2,
FREE,Johnson,MID,EVE,0.62,0.00,1.0,2,34,0,10.6,-0.98,4-3-2-2-4,
FREE,Merino,MID,ARS,0.61,0.00,1.0,2,33,0,16.4,-1.00,4-3-3-2-3,
FREE,Costinha,DEF,BHA,0.59,0.00,0.5,1,36,0,10.0,-2.66,2-2-4-3-3,
FREE,Diarra,MID,SUN,0.58,0.00,2.5,5,28,0,0.0,-1.03,3-4-5-2-3,Unspecified injury - 75% chance of playing
FREE,McAteer,MID,IPS,0.57,0.00,1.0,2,31,0,11.6,-1.04,4-3-3-2-5,
FREE,Sakamoto,MID,COV,0.55,0.00,0.5,1,31,0,11.6,-1.06,5-2-3-2-3,
FREE,Talbi,MID,SUN,0.55,0.00,0.5,1,31,0,5.8,-1.06,3-4-5-2-3,
FREE,Osman,MID,BHA,0.52,0.00,1.0,2,28,0,9.6,-1.09,2-2-4-3-3,
FREE,Palacios,MID,IPS,0.50,0.00,1.0,1,28,0,19.3,-1.11,4-3-3-2-5,
FREE,Wood,FWD,NFO,0.47,0.00,0.5,1,28,0,3.2,-2.53,3-4-2-3-4,
FREE,Zubimendi,MID,ARS,0.46,0.00,1.0,2,27,0,0.0,-1.14,4-3-3-2-3,
FREE,Alysson,MID,AVL,0.46,0.00,0.5,1,27,0,0.0,-1.14,2-3-3-3-3,
FREE,Hamer,MID,COV,0.46,0.00,1.0,2,27,0,0.0,-1.14,5-2-3-2-3,
FREE,Ouattara,DEF,IPS,0.43,0.00,1.0,2,27,0,0.0,-2.82,4-3-3-2-5,
FREE,McNair,DEF,HUL,0.42,0.00,0.5,1,26,0,0.0,-2.83,3-4-3-3-3,
FREE,Udogie,DEF,TOT,0.42,0.00,1.0,2,26,0,0.0,-2.83,3-3-3-4-2,
FREE,Kevin,MID,FUL,0.41,0.00,1.0,2,24,0,0.0,-1.19,3-4-4-2-2,
FREE,Delap,FWD,NFO,0.39,0.00,0.5,1,24,0,0.0,-2.61,3-4-2-3-4,
FREE,Madueke,MID,ARS,0.38,0.00,0.5,1,22,0,0.0,-1.23,4-3-3-2-3,
FREE,James,MID,LEE,0.38,0.00,0.5,1,22,0,0.0,-1.23,3-2-3-5-4,
FREE,J.Murphy,MID,NEW,0.38,0.00,0.5,1,22,0,0.0,-1.23,3-3-2-2-3,
FREE,Gozo,MID,CRY,0.38,0.00,0.5,1,22,0,0.0,-1.23,3-2-3-3-3,
FREE,Nmecha,FWD,LEE,0.34,0.00,2.0,4,21,0,0.0,-2.66,3-2-3-5-4,
FREE,Clarke,MID,IPS,0.33,0.00,3.5,7,19,0,0.0,-1.28,4-3-3-2-5,
FREE,Netz,DEF,NFO,0.32,0.00,1.0,2,20,0,0.0,-2.93,3-4-2-3-4,
MINE,Abraham,FWD,AVL,0.31,0.00,0.5,1,19,0,0.0,,2-3-3-3-3,
FREE,Tsimikas,DEF,LIV,0.31,0.00,0.5,1,19,0,0.0,-2.94,2-2-3-4-3,
FREE,Woltemade,FWD,NEW,0.31,0.00,2.0,4,19,0,0.0,-2.69,3-3-2-2-3,
FREE,Rigg,MID,SUN,0.30,0.00,1.0,2,17,0,0.0,-1.31,3-4-5-2-3,
FREE,Bogarde,MID,AVL,0.28,0.00,0.5,1,16,0,0.0,-1.33,2-3-3-3-3,
FREE,Garnacho,MID,AVL,0.28,0.00,1.0,2,16,0,0.0,-1.33,2-3-3-3-3,
FREE,Furlong,DEF,IPS,0.28,0.00,0.5,1,17,0,0.0,-2.97,4-3-3-2-5,
FREE,Tóth.A,MID,BOU,0.26,0.00,0.5,1,15,0,0.0,-1.34,3-3-4-4-2,
FREE,Mings,DEF,AVL,0.26,0.00,0.5,1,16,0,0.0,-2.99,2-3-3-3-3,
FREE,Hickey,DEF,BRE,0.26,0.00,1.0,2,16,0,0.0,-2.99,2-3-4-4-4,
FREE,Disasi,DEF,CRY,0.26,0.00,0.5,1,16,0,0.0,-2.99,3-2-3-3-3,
FREE,Mingueza,DEF,CRY,0.24,0.00,0.5,1,15,0,0.0,-3.01,3-2-3-3-3,
FREE,Jebbison,FWD,BOU,0.24,0.00,0.5,1,15,0,0.0,-2.76,3-3-4-4-2,
FREE,Smith Rowe,MID,FUL,0.24,0.00,0.5,1,14,0,0.0,-1.36,3-4-4-2-2,
FREE,Bamba,MID,NEW,0.24,0.00,0.5,1,14,0,0.0,-1.36,3-3-2-2-3,
FREE,Caicedo,MID,CHE,0.23,0.00,0.5,1,13,0,0.0,-1.38,5-2-3-3-3,Unspecified injury - 75% chance of playing
FREE,Nyoni,MID,LIV,0.23,0.00,0.5,1,13,0,0.0,-1.38,2-2-3-4-3,
FREE,Yohanna,MID,BHA,0.21,0.00,0.5,1,12,0,0.0,-1.40,2-2-4-3-3,
FREE,Koumas,MID,LIV,0.21,0.00,0.5,1,12,0,0.0,-1.40,2-2-3-4-3,
FREE,Pinnock,DEF,COV,0.20,0.00,0.5,1,12,0,0.0,-3.05,5-2-3-2-3,
FREE,Wan-Bissaka,DEF,AVL,0.20,0.00,1.0,1,12,0,0.0,-3.05,2-3-3-3-3,
FREE,Lacey,MID,MUN,0.18,0.00,0.5,1,10,0,0.0,-1.43,3-4-3-3-3,
FREE,Walle Egeli,FWD,IPS,0.16,0.00,0.5,1,10,0,0.0,-2.84,4-3-3-2-5,
FREE,David,FWD,BHA,0.16,0.00,0.5,1,10,0,0.0,-2.84,2-2-4-3-3,
FREE,Brooks,MID,BOU,0.16,0.00,0.5,1,9,0,0.0,-1.45,3-3-4-4-2,
FREE,Rodríguez,FWD,BOU,0.15,0.00,0.5,1,9,0,0.0,-2.85,3-3-4-4-2,
FREE,Wilson,FWD,BRE,0.15,0.00,1.0,2,9,0,0.0,-2.85,2-3-4-4-4,
FREE,Quenda,MID,CHE,0.14,0.00,0.5,1,8,0,0.0,-1.46,5-2-3-3-3,
FREE,Grealish,MID,MCI,0.14,0.00,0.5,1,8,0,0.0,-1.46,2-4-2-4-2,
FREE,Longstaff,MID,LEE,0.14,0.00,0.5,1,8,0,0.0,-1.46,3-2-3-5-4,
FREE,Barco,MID,CHE,0.14,0.00,0.5,1,8,0,0.0,-1.46,5-2-3-3-3,
FREE,Bouaddi,MID,MCI,0.14,0.00,1.0,1,8,0,0.0,-1.46,2-4-2-4-2,
FREE,McAidoo,MID,MCI,0.14,0.00,1.0,1,8,0,0.0,-1.46,2-4-2-4-2,
FREE,Muniz,FWD,FUL,0.13,0.00,0.5,1,8,0,0.0,-2.87,3-4-4-2-2,
FREE,Ruggeri,DEF,AVL,0.13,0.00,0.5,1,8,0,0.0,-3.12,2-3-3-3-3,
FREE,Estêvão,MID,CHE,0.12,0.00,0.5,1,7,0,0.0,-1.48,5-2-3-3-3,
FREE,Cho,MID,HUL,0.12,0.00,1.0,1,7,0,0.0,-1.48,3-4-3-3-3,
FREE,Alcaraz,MID,EVE,0.09,0.00,0.5,1,5,0,0.0,-1.52,4-3-2-2-4,
FREE,Targett,DEF,HUL,0.08,0.00,0.5,1,5,0,0.0,-3.17,3-4-3-3-3,
FREE,Iroegbunam,MID,EVE,0.07,0.00,0.5,1,4,0,0.0,-1.53,4-3-2-2-4,
FREE,Christie,MID,BOU,0.05,0.00,0.5,1,3,0,0.0,-1.55,3-3-4-4-2,
FREE,Henry,DEF,BRE,0.03,0.00,0.5,1,2,0,0.0,-3.22,2-3-4-4-4,
FREE,Gannon-Doak,MID,BOU,0.02,0.00,0.5,1,1,0,0.0,-1.59,3-3-4-4-2,
FREE,Touré,MID,NEW,0.02,0.00,0.5,1,1,0,0.0,-1.59,3-3-2-2-3,
FREE,Hudson-Odoi,MID,NFO,0.02,0.00,0.5,1,1,0,0.0,-1.59,3-4-2-3-4,
FREE,Dominguez,MID,NFO,0.02,0.00,0.5,1,1,0,0.0,-1.59,3-4-2-3-4,
FREE,Mundle,MID,SUN,0.02,0.00,0.5,1,1,0,0.0,-1.59,3-4-5-2-3,
FREE,Vitor Reis,DEF,MCI,0.02,0.00,0.5,1,1,0,0.0,-3.23,2-4-2-4-2,
FREE,Schär,DEF,NEW,0.02,0.00,0.5,1,1,0,0.0,-3.23,3-3-2-2-3,
FREE,Kalimuendo,FWD,NFO,0.02,0.00,0.5,1,1,0,0.0,-2.98,3-4-2-3-4,
FREE,Braithwaite,DEF,MCI,0.02,0.00,1.0,1,1,0,0.0,-3.23,2-4-2-4-2,
MINE,Sávio,MID,TOT,0.00,0.00,0.0,0,0,0,0.0,,3-3-3-4-2,Muscular injury - 75% chance of playing
